depth_cm;mean_age;sd_age
738;9351.2301;205.7635084
739;9359.37424;207.6026951
740;9367.51838;209.7135737
741;9372.86051;209.2582243
742;9378.20264;208.9844826
743;9383.54477;208.8930626
744;9388.8869;208.9842036
745;9394.22903;209.257667
746;9399.57116;209.7127397
747;9404.91329;210.3482429
748;9410.25542;211.1625475
749;9415.59755;212.1535948
750;9420.93968;213.3189213
751;9429.00485;212.796131
752;9437.07002;212.4468411
753;9445.13519;212.2719082
754;9453.20036;212.2717632
755;9461.26553;212.4464065
756;9469.3307;212.7954079
757;9477.39587;213.3179115
758;9485.46104;214.0126464
759;9493.52621;214.8779423
760;9501.59138;215.9117483
761;9512.11238;215.3329087
762;9522.63338;214.9184443
763;9533.15438;214.6693074
764;9543.67538;214.5860738
765;9554.19638;214.6689364
766;9564.71738;214.9177032
767;9575.23838;215.331799
768;9585.75938;215.9102728
769;9596.28038;216.6518078
770;9606.80138;217.5547366
771;9609.56044;217.2384553
772;9612.3195;217.0828329
773;9615.07856;217.0882151
774;9617.83762;217.2545898
775;9620.59668;217.5815877
776;9623.35574;218.0684862
777;9626.1148;218.7142175
778;9628.87386;219.5173798
779;9631.63292;220.4762528
780;9634.39198;221.5888149
781;9647.96718;221.1545138
782;9661.54238;220.8991425
783;9675.11758;220.8233218
784;9688.69278;220.9272366
785;9702.26798;221.2106336
786;9715.84318;221.6728245
787;9729.41838;222.312694
788;9742.99358;223.1287136
789;9756.56878;224.1189593
790;9770.14398;225.2811335
791;9775.72164;224.8784881
792;9781.2993;224.6463151
793;9786.87696;224.5851432
794;9792.45462;224.6951121
795;9798.03228;224.9759708
796;9803.60994;225.4270806
797;9809.1876;226.0474222
798;9814.76526;226.8356071
799;9820.34292;227.7898931
800;9825.92058;228.9082029
801;9831.68354;228.1076107
802;9837.4465;227.4626709
803;9843.20946;226.9747103
804;9848.97242;226.6447428
805;9854.73538;226.473459
806;9860.49834;226.4612189
807;9866.2613;226.6080485
808;9872.02426;226.9136387
809;9877.78722;227.3773496
810;9883.55018;227.9982164
811;9900.42798;227.3923771
812;9917.30578;226.9489714
813;9934.18358;226.6689525
814;9951.06138;226.5529262
815;9967.93918;226.6011445
816;9984.81698;226.8135025
817;10001.69478;227.1895401
818;10018.57258;227.7284463
819;10035.45038;228.4290686
820;10052.32818;229.2899243
821;10064.21018;228.7744869
822;10076.09218;228.4117867
823;10087.97418;228.2025521
824;10099.85618;228.1472054
825;10111.73818;228.2458585
826;10123.62018;228.4983118
827;10135.50218;228.9040566
828;10147.38418;229.4622797
829;10159.26618;230.1718717
830;10171.14818;231.0314378
831;10177.6989;230.1644684
832;10184.24962;229.4820416
833;10190.80034;228.9858071
834;10197.35106;228.6769772
835;10203.90178;228.5563115
836;10210.4525;228.6241079
837;10217.00322;228.880199
838;10223.55394;229.323954
839;10230.10466;229.9542863
840;10236.65538;230.7696673
841;10283.07178;230.3821569
842;10329.48818;230.3720238
843;10375.90458;230.7393177
844;10422.32098;231.4822419
845;10468.73738;232.5971972
846;10515.15378;234.0788676
847;10561.57018;235.9203436
848;10607.98658;238.1132779
849;10654.40298;240.6480623
850;10700.81938;243.514022
851;10722.42298;243.2563635
852;10744.02658;243.4019015
853;10765.63018;243.9499145
854;10787.23378;244.8977005
855;10808.83738;246.2406435
856;10830.44098;247.9723233
857;10852.04458;250.0846647
858;10873.64818;252.5681171
859;10895.25178;255.4118554
860;10916.85538;258.6039942
861;10925.95724;258.3073088
862;10935.0591;258.3274423
863;10944.16096;258.6643207
864;10953.26282;259.3167095
865;10962.36468;260.2822363
866;10971.46654;261.5574334
867;10980.5684;263.1377986
868;10989.67026;265.0178727
869;10998.77212;267.1913291
870;11007.87398;269.6510736
871;11010.15955;269.3309015
872;11012.44512;269.3114565
873;11014.73069;269.5928035
874;11017.01626;270.174003
875;11019.30183;271.0531261
876;11021.5874;272.2272864
877;11023.87297;273.6926869
878;11026.15854;275.4446792
879;11028.44411;277.4778348
880;11030.72968;279.7860242
881;11043.33228;279.8355862
882;11055.93488;280.1920628
883;11068.53748;280.8542856
884;11081.14008;281.8200992
885;11093.74268;283.0863963
886;11106.34528;284.6491666
887;11118.94788;286.5035589
888;11131.55048;288.6439525
889;11144.15308;291.0640381
890;11156.75568;293.756903
891;11166.41333;293.6258282
892;11176.07098;293.8030771
893;11185.72863;294.2880926
894;11195.38628;295.0793572
895;11205.04393;296.1744164
896;11214.70158;297.5699161
897;11224.35923;299.2616536
898;11234.01688;301.2446378
899;11243.67453;303.5131605
900;11253.33218;306.0608724
901;11266.54448;305.7151617
902;11279.75678;305.6501375
903;11292.96908;305.865979
904;11306.18138;306.3620923
905;11319.39368;307.1371194
906;11332.60598;308.1889562
907;11345.81828;309.5147804
908;11359.03058;311.1110893
909;11372.24288;312.973744
910;11385.45518;315.0980214
911;11398.38068;314.651405
912;11411.30618;314.4720196
913;11424.23168;314.5603223
914;11437.15718;314.9160881
915;11450.08268;315.5384123
916;11463.00818;316.425722
917;11475.93368;317.5757962
918;11488.85918;318.9857927
919;11501.78468;320.6522828
920;11514.71018;322.5712911
921;11531.98728;322.3210493
922;11549.26438;322.3386348
923;11566.54148;322.6240038
924;11583.81858;323.176447
925;11601.09568;323.9945982
926;11618.37278;325.0764511
927;11635.64988;326.4193839
928;11652.92698;328.0201899
929;11670.20408;329.875115
930;11687.48118;331.9798995
931;11698.36398;331.4667007
932;11709.24678;331.2067675
933;11720.12958;331.2006962
934;11731.01238;331.4485007
935;11741.89518;331.9496126
936;11752.77798;332.7028872
937;11763.66078;333.7066169
938;11774.54358;334.9585503
939;11785.42638;336.4559165
940;11796.30918;338.1954558
941;11801.66247;336.1218231
942;11807.01576;334.5240596
943;11812.36905;333.409007
944;11817.72234;332.7815175
945;11823.07563;332.6443501
946;11828.42892;332.998111
947;11833.78221;333.8412394
948;11839.1355;335.1700422
949;11844.48879;336.9787741
950;11849.84208;339.2597591
951;11865.24348;336.3393465
952;11880.64488;333.9654918
953;11896.04628;332.149914
954;11911.44768;330.9018024
955;11926.84908;330.2275916
956;11942.25048;330.1307977
957;11957.65188;330.6119278
958;11973.05328;331.6684668
959;11988.45468;333.2949428
960;12003.85608;335.4830663
961;12030.80448;332.2793521
962;12057.75288;329.6238895
963;12084.70128;327.5300139
964;12111.64968;326.0085461
965;12138.59808;325.0675238
966;12165.54648;324.7119934
967;12192.49488;324.9438767
968;12219.44328;325.7619193
969;12246.39168;327.1617243
970;12273.34008;329.1358691
971;12280.37813;325.2361306
972;12287.41618;321.9341211
973;12294.45423;319.248388
974;12301.49228;317.1945861
975;12308.53033;315.7850456
976;12315.56838;315.0284143
977;12322.60643;314.9293983
978;12329.64448;315.4886167
979;12336.68253;316.7025828
980;12343.72058;318.5638114
981;12351.60753;314.0864879
982;12359.49448;310.2469475
983;12367.38143;307.0691154
984;12375.26838;304.5737045
985;12383.15533;302.7775882
986;12391.04228;301.6932566
987;12398.92923;301.3283936
988;12406.81618;301.6856099
989;12414.70313;302.7623495
990;12422.59008;304.5509808
991;12428.63359;300.6652024
992;12434.6771;298.1264616
993;12440.72061;296.9693075
994;12446.76412;297.2098775
995;12452.80763;298.8447962
996;12458.85114;301.8514079
997;12464.89465;306.1893072
998;12470.93816;311.8029354
999;12476.98167;318.624871
1000;12483.02518;326.5794016
1001;12521.80958;325.5099178
1002;12560.59398;324.9164518
1003;12599.37838;324.8016127
1004;12638.16278;325.1659077
1005;12676.94718;326.0077307
1006;12715.73158;327.3233972
1007;12754.51598;329.1072245
